,0,1_x,1_y,1,Centrality,id,name,ml_target,Centrality_std
3094,cenkbircanoglu,0.000536653,0.000632804,0.291050979,0.292220437,18280,cenkbircanoglu,1,1.685162148
3875,raninho,0.001556295,0.00174832,0.288865171,0.292169786,14631,raninho,1,1.684133609
3910,gianlucatruda,0.000536653,0.000828126,0.290622835,0.291987614,9066,gianlucatruda,1,1.680434372
295,ogrisel,0.004293227,0.003352461,0.284004822,0.291650511,28944,ogrisel,1,1.67358907
3779,DiptarkBose,0.000858645,0.001038862,0.289750995,0.291648503,36398,DiptarkBose,1,1.673548286
1067,rejasupotaro,0.001395299,0.001428639,0.288567906,0.291391844,2158,rejasupotaro,1,1.668336498
3476,tilaprimera,0.001073307,0.001423478,0.288884371,0.291381156,8569,tilaprimera,1,1.668119463
96,tianweidut,0.001395299,0.002016607,0.287956128,0.291368035,3374,tianweidut,1,1.667853021
3774,animebing,0.001556295,0.00209919,0.287613142,0.291268627,34042,animebing,1,1.665834422
3237,jirotubuyaki,0.001341634,0.001576506,0.288299934,0.291218073,32580,jirotubuyaki,1,1.664807859
3336,sampsyo,0.001448964,0.001866321,0.287736904,0.291052189,32806,sampsyo,1,1.661439379
3884,statkclee,0.000751315,0.001058519,0.289220775,0.291030608,13664,statkclee,1,1.661001144
733,justachetan,0.001234303,0.001325144,0.288280812,0.290840259,35106,justachetan,1,1.65713586
1566,octonion,0.000643984,0.000737456,0.28937482,0.290756261,860,octonion,1,1.655430169
2755,hmishra2250,0.000643984,0.000705273,0.289403722,0.290752979,25095,hmishra2250,1,1.655363533
3923,Belval,0.000321992,0.000423945,0.289963628,0.290709565,37605,Belval,1,1.654481945
3663,abx67,0.000858645,0.000750165,0.289076506,0.290685316,16896,abx67,1,1.65398955
5,IJEMIN,0.000912311,0.001635138,0.288013372,0.290560821,5916,IJEMIN,1,1.651461518
3308,adrianobarroso,0.000697649,0.001294494,0.288376447,0.29036859,4572,adrianobarroso,1,1.647558009
156,bmwilly,0.000429323,0.000635793,0.289220775,0.29028589,3218,bmwilly,1,1.645878689
319,arsenal9971,0.000965976,0.001158031,0.288099281,0.290223288,16166,arsenal9971,1,1.644607473
234,shenli,0.001717291,0.001686193,0.286806546,0.29021003,28288,shenli,1,1.644338256
3778,snwfdhmp,0.001126972,0.001624684,0.287394439,0.290146096,7923,snwfdhmp,1,1.643039988
2504,lfkdsk,0.001770956,0.001789981,0.286494615,0.290055552,9159,lfkdsk,1,1.641201373
2212,pdp7,0.002253944,0.003596758,0.284171939,0.290022641,18993,pdp7,1,1.640533076
1165,gofornaman,0.000858645,0.000906932,0.288194795,0.289960373,7145,gofornaman,1,1.639268641
3635,braulio94,0.001073307,0.001620026,0.287233003,0.289926336,25439,braulio94,1,1.638577476
2741,BigZihao,0.000429323,0.000610918,0.288874771,0.289915012,18973,BigZihao,1,1.638347534
43,sunchao,0.000429323,0.000512566,0.288855573,0.289797462,20919,sunchao,1,1.635960525
3125,gobrewers14,0.000429323,0.000506903,0.288788399,0.289724625,31044,gobrewers14,1,1.634481484
3032,anokata,0.000643984,0.000572385,0.288481718,0.289698087,20788,anokata,1,1.633942592
2458,jcrodriguez1989,0.002736932,0.002998609,0.283912065,0.289647606,26753,jcrodriguez1989,1,1.632917517
1983,alanwangmodify,0.00160996,0.001962202,0.285966827,0.289538989,2134,alanwangmodify,1,1.630711915
3189,linxid,0.00150263,0.002522897,0.285459727,0.289485254,12857,linxid,1,1.629620741
3274,prateekpandey14,0.001234303,0.001342673,0.286834937,0.289411913,6772,prateekpandey14,1,1.628131464
120,nd1511,0.004937212,0.006246578,0.278179129,0.289362919,29023,nd1511,1,1.627136576
3115,SuperChenSSS,0.000429323,0.000716113,0.288213906,0.289359342,583,SuperChenSSS,1,1.627063936
981,bytao7mao,0.003756574,0.005094601,0.28049497,0.289346144,16154,bytao7mao,1,1.626795948
1351,kalbhor,0.001556295,0.001486681,0.286268182,0.289311157,4546,kalbhor,1,1.626085493
98,BIGBird1994,0.001019642,0.000980919,0.287251986,0.289252547,36659,BIGBird1994,1,1.624895327
3016,stmatengss,0.000375657,0.00045036,0.288347749,0.289173767,3530,stmatengss,1,1.623295612
358,erikbern,0.004078566,0.004312995,0.280766758,0.28915832,2273,erikbern,1,1.622981928
3270,jreduardo,0.000429323,0.000398768,0.288061093,0.288889184,22061,jreduardo,1,1.617516788
2740,nacheteam,0.000429323,0.000492733,0.287898907,0.288820963,18405,nacheteam,1,1.616131475
3174,monigarr,0.001019642,0.001386438,0.286371919,0.288777999,3594,monigarr,1,1.615259028
3590,JagadishSivakumar,0.000912311,0.00069403,0.287109674,0.288716015,6700,JagadishSivakumar,1,1.614000367
3532,Irtza,0.000321992,0.00033207,0.288061093,0.288715155,29877,Irtza,1,1.613982894
1334,imaculate,0.001073307,0.001354572,0.286249328,0.288677208,24155,imaculate,1,1.613212333
1980,VictorZhang2014,0.000965976,0.001285906,0.28640966,0.288661542,8913,VictorZhang2014,1,1.612894229
377,mbostock,0.011377053,0.012497205,0.26470218,0.288576438,2078,mbostock,0,1.611166071
1682,Z-Shang,0.001448964,0.001565424,0.285469101,0.288483489,30343,Z-Shang,1,1.609278636
3731,ateexD,0.000482988,0.000517752,0.287460966,0.288461706,36091,ateexD,1,1.608836296
320,akhilputhiry,0.000643984,0.000737806,0.286995926,0.288377716,30549,akhilputhiry,1,1.607130775
2318,mohanarunachalam,0.001556295,0.002267903,0.284544013,0.288368211,166,mohanarunachalam,1,1.606937758
214,nrkfeller,0.000912311,0.000750408,0.286683583,0.288346302,120,nrkfeller,1,1.606492862
3591,guillermo-carrasco,0.000321992,0.00036147,0.287641693,0.288325155,13328,guillermo-carrasco,1,1.606063456
3388,DymanZy,0.001073307,0.00114247,0.286070346,0.288286123,5131,DymanZy,1,1.605270858
3685,AIBluefisher,0.000429323,0.000568128,0.287280465,0.288277916,16539,AIBluefisher,1,1.605104207
1073,nikitavoloboev,0.003971235,0.005523614,0.278714278,0.288209127,2281,nikitavoloboev,0,1.603707359
3747,alstat,0.000268327,0.000254646,0.28766073,0.288183703,18149,alstat,1,1.603191094
1650,mukeshthawani,0.001341634,0.001259503,0.285562879,0.288164016,37056,mukeshthawani,1,1.602791321
3728,sajalagrawal,0.000375657,0.000588917,0.287081229,0.288045803,30852,sajalagrawal,1,1.600390862
2947,AlexJuca,0.000751315,0.00098686,0.286258755,0.28799693,11416,AlexJuca,1,1.599398421
2762,ljjyxz123,0.000160996,0.00022249,0.287479979,0.287863465,18606,ljjyxz123,1,1.596688241
2845,mikhaildubov,0.000160996,0.00022249,0.287479979,0.287863465,36961,mikhaildubov,1,1.596688241
3761,richkmeli,0.000321992,0.000352467,0.287128641,0.2878031,26340,richkmeli,1,1.595462463
3156,iamprakashom,0.000375657,0.000547319,0.286834937,0.287757913,32657,iamprakashom,1,1.594544887
1890,MrPowers,0.001395299,0.001350308,0.28467447,0.287420076,14209,MrPowers,1,1.58768467
3143,eccstartup,0.00080498,0.000724758,0.285825785,0.287355523,3363,eccstartup,1,1.586373837
3241,fristonio,0.000965976,0.001159655,0.285197494,0.287323125,24662,fristonio,1,1.585715946
3691,linevych,0.000375657,0.000431747,0.286192783,0.287000188,13589,linevych,1,1.579158295
3208,ikashnitsky,0.000590319,0.000534666,0.285816387,0.286941372,22198,ikashnitsky,1,1.577963962
3748,Thunderlbc,0.000482988,0.000680397,0.285769407,0.286932793,7795,Thunderlbc,1,1.577789755
2002,nduas77,0.002683267,0.00319729,0.280948244,0.286828801,10060,nduas77,1,1.57567806
3421,LiuHDme,0.000429323,0.000465419,0.285844583,0.286739325,35474,LiuHDme,1,1.573861138
290,JBed,0.000536653,0.000483505,0.285684882,0.286705041,17677,JBed,1,1.573164967
1108,mgattozzi,0.00160996,0.001797957,0.283282917,0.286690835,11979,mgattozzi,1,1.57287649
1659,scholaronroad,0.000697649,0.000814349,0.285122658,0.286634657,13457,scholaronroad,1,1.571735727
3118,llitfkitfk,0.001448964,0.001588959,0.283578639,0.286616563,30774,llitfkitfk,1,1.571368299
3578,GaoxingZheng,0.000429323,0.000868657,0.285272368,0.286570348,34905,GaoxingZheng,1,1.570429844
3874,Hitomis,0.00150263,0.001377954,0.283671179,0.286551763,8617,Hitomis,1,1.570052455
2464,terryum,0.002790598,0.002679586,0.280911928,0.286382111,2907,terryum,1,1.566607459
2773,claytantor,0.000751315,0.000945469,0.284609226,0.286306011,9382,claytantor,1,1.565062139
1468,IpshitaC,0.000858645,0.000636151,0.284739743,0.28623454,16997,IpshitaC,1,1.56361083
3929,ashwinimanoj,0.000321992,0.000414724,0.285487852,0.286224568,18916,ashwinimanoj,1,1.563408353
3123,kmust-why,0.000429323,0.000357915,0.285431607,0.286218846,6848,kmust-why,1,1.563292143
3131,alexrs,0.001019642,0.001208501,0.283958436,0.286186579,3246,alexrs,1,1.56263693
2727,gogobebe2,0.000643984,0.00076199,0.284758398,0.286164372,37003,gogobebe2,1,1.562185991
3501,abprash,0.000590319,0.000450575,0.285094605,0.286135498,29647,abprash,1,1.561599673
3506,akshatah33,0.000268327,0.000301768,0.285562879,0.286132973,20692,akshatah33,1,1.5615484
3798,madhur-tandon,0.000751315,0.000638976,0.284665147,0.286055438,19880,madhur-tandon,1,1.559973953
541,apaszke,0.003756574,0.003539285,0.278750027,0.286045886,13647,apaszke,1,1.559779981
3604,ramakanthd92,0.000482988,0.000457543,0.285103956,0.286044486,16016,ramakanthd92,1,1.559751554
3441,nrebhun,0.000375657,0.00046437,0.285150717,0.285990744,33730,nrebhun,1,1.558660257
3298,smanurung,0.000375657,0.000535132,0.285047862,0.285958651,28439,smanurung,1,1.558008568
3127,WIZARD-CXY,0.000912311,0.000893437,0.284134785,0.285940532,29836,WIZARD-CXY,1,1.557640638
3423,finaldie,0.000590319,0.000359862,0.284907725,0.285857906,10567,finaldie,1,1.555962797
1821,amirisback,0.003273586,0.004537855,0.278001203,0.285812644,31378,amirisback,1,1.555043693
3095,i-am-tom,0.001341634,0.001489415,0.282914131,0.28574518,37622,i-am-tom,1,1.553673759
3296,shkrt,0.000697649,0.00091281,0.284069789,0.285680248,4462,shkrt,1,1.55235524
2789,FerPerales,0.000751315,0.001058401,0.283773042,0.285582758,18851,FerPerales,1,1.55037557
3490,haaakon,0.000912311,0.00096319,0.283680436,0.285555937,5960,haaakon,1,1.54983093
2898,hantek,0.000375657,0.000406699,0.284739743,0.285522099,19805,hantek,1,1.549143821
3666,kophy,0.000912311,0.001282815,0.283292149,0.285487275,35546,kophy,1,1.548436661
3366,abhishekjiitr,0.000536653,0.000408482,0.284525386,0.285470521,33078,abhishekjiitr,1,1.548096461
3057,shinxg,0.000482988,0.000652699,0.284246276,0.285381963,30539,shinxg,1,1.546298162
3312,isharaux,0.000429323,0.000429419,0.284497451,0.285356192,22949,isharaux,1,1.54577486
3829,alexbowe,0.000643984,0.000587762,0.284051224,0.28528297,26821,alexbowe,1,1.544287996
3796,Ged0,0.000321992,0.000331904,0.284618545,0.285272441,8014,Ged0,1,1.544074185
342,jmatsu,0.000536653,0.000648412,0.283986266,0.285171332,21432,jmatsu,1,1.542021037
276,consideRatio,0.000536653,0.000784673,0.283782306,0.285103632,35829,consideRatio,1,1.540646307
3278,ivan-jgr,0.000268327,0.000289187,0.284534699,0.285092213,25818,ivan-jgr,1,1.540414424
278,rvlobato,0.000536653,0.000643833,0.283902793,0.285083279,2614,rvlobato,1,1.540233018
854,artemnovichkov,0.000912311,0.001038812,0.283098404,0.285049527,35935,artemnovichkov,1,1.539547635
1296,beaulian,0.000590319,0.00071747,0.283735993,0.285043782,37354,beaulian,1,1.539430969
3902,DaeHeeLim,0.000268327,0.000207825,0.284553328,0.285029479,18091,DaeHeeLim,1,1.539140537
1038,eriklindernoren,0.002790598,0.002074464,0.280151458,0.28501652,36468,eriklindernoren,1,1.538877386
2926,brebory,0.000268327,0.000232585,0.284506762,0.285007674,10846,brebory,1,1.538697749
3364,HenryLiu0,0.000536653,0.000418375,0.284051224,0.285006253,4974,HenryLiu0,1,1.538668889
3362,ivanvladimir,0.000214661,0.000224166,0.284562643,0.28500147,4962,ivanvladimir,1,1.538571771
1802,mahmoud,0.004776216,0.004973502,0.275237299,0.284987016,21766,mahmoud,1,1.538278273
3872,Jerey-Jobs,0.000751315,0.00053652,0.283615648,0.284903483,27142,Jerey-Jobs,1,1.536582023
970,LydiaCai1203,0.002039283,0.003076628,0.279745755,0.284861666,13773,LydiaCai1203,1,1.535732875
2693,jiegzhan,0.001126972,0.00119886,0.282509574,0.284835406,13689,jiegzhan,1,1.535199641
3277,Sushant-M,0.000268327,0.000286923,0.284236981,0.284792232,4309,Sushant-M,1,1.534322919
2713,hmenn,0.000321992,0.000397319,0.284069789,0.2847891,18365,hmenn,1,1.534259322
2247,oliveiradan,0.000375657,0.000552374,0.28385644,0.284784471,34600,oliveiradan,1,1.534165323
2373,dynamicwebpaige,0.004293227,0.004728218,0.275761178,0.284782623,15384,dynamicwebpaige,1,1.534127812
3577,markdregan,0.000482988,0.000411332,0.283810102,0.284704422,6626,markdregan,1,1.532539831
3519,orieg,0.000536653,0.000470587,0.283634156,0.284641396,34430,orieg,1,1.531260016
3683,SimonCqk,0.000321992,0.000344727,0.283949161,0.284615879,35917,SimonCqk,1,1.530741861
3234,liyanan0904,0.000268327,0.000328686,0.283958436,0.284555449,24430,liyanan0904,1,1.529514747
3795,adebesin,0.000965976,0.000835658,0.282730098,0.284531733,17224,adebesin,1,1.529033153
3756,ppant,0.000375657,0.000280978,0.283874979,0.284531614,35739,ppant,1,1.529030744
86,amix,0.004293227,0.005280299,0.274906537,0.284480063,18028,amix,1,1.527983941
3164,CTLife,0.000160996,0.000158351,0.284144072,0.284463419,21774,CTLife,1,1.527645959
3930,pablogventura,0.000160996,0.000158351,0.284144072,0.284463419,37672,pablogventura,1,1.527645959
529,donnemartin,0.009552431,0.010432061,0.264452545,0.284437037,27450,donnemartin,0,1.527110233
3096,deniszh,0.000321992,0.000300097,0.283782306,0.284404396,27304,deniszh,1,1.526447416
3709,nims11,0.000482988,0.000390884,0.283523144,0.284397016,7522,nims11,1,1.526297559
2798,paintdream,0.000590319,0.000642738,0.283162957,0.284396013,9629,paintdream,1,1.526277203
2674,kootenpv,0.001663626,0.002148793,0.28049497,0.284307388,1443,kootenpv,1,1.52447756
2408,hcwang95,0.000214661,0.000202804,0.283874979,0.284292445,14613,hcwang95,1,1.524174106
3605,pinewave,0.000160996,0.000163101,0.283624901,0.283948999,20958,pinewave,1,1.517200001
1651,mrkswlsn,0.00241494,0.003009428,0.278482127,0.283906496,20861,mrkswlsn,1,1.516336917
3207,ksasi,0.000268327,0.000255761,0.283366027,0.283890114,23424,ksasi,1,1.516004277
3525,rajeshkumarkarra,0.001180638,0.001875897,0.280775827,0.283832362,15454,rajeshkumarkarra,1,1.514831535
3342,bhamadicharef,0.000482988,0.000755321,0.282583044,0.283821353,4774,bhamadicharef,1,1.51460799
3187,papachristoumarios,0.000697649,0.00102881,0.28207871,0.283805169,12848,papachristoumarios,1,1.514279356
1349,jainkuniya,0.000590319,0.000415557,0.282730098,0.283735974,33398,jainkuniya,1,1.512874256
3587,kr15h,0.000375657,0.000463379,0.282877306,0.283716342,6673,kr15h,1,1.512475598
2777,csurfer,0.000590319,0.000693813,0.282399441,0.283683573,18696,csurfer,1,1.511810196
205,hanxiao,0.003863905,0.003905649,0.275883703,0.283653257,17395,hanxiao,1,1.511194586
3916,nylqd,0.000214661,0.000266067,0.283079966,0.283560695,27522,nylqd,1,1.509314992
3145,nishankbhati,0.000321992,0.00031743,0.282914131,0.283553554,31232,nishankbhati,1,1.509169986
2218,lfckop,0.000375657,0.000397137,0.282748491,0.283521285,18538,lfckop,1,1.508514729
3176,americast,0.000536653,0.00029975,0.282674935,0.283511339,12714,americast,1,1.508312749
3492,sajuptpm,0.000214661,0.000217828,0.283070748,0.283503238,5676,sajuptpm,1,1.508148249
2568,mbinary,0.001556295,0.00196659,0.279980018,0.283502903,32182,mbinary,1,1.508141446
424,kendemu,0.000375657,0.000405837,0.282702514,0.283484009,8019,kendemu,1,1.507757775
3715,apburton84,0.000214661,0.000196019,0.283052314,0.283462994,16773,apburton84,1,1.507331059
3202,TobiasLee,0.000429323,0.000496321,0.282482033,0.283407676,23069,TobiasLee,1,1.506207754
3179,JackChen-crg,0.000214661,0.000196215,0.282932548,0.283343425,31575,JackChen-crg,1,1.504903042
3781,rahulravindran0108,0.000429323,0.00058803,0.282298561,0.283315915,36402,rahulravindran0108,1,1.504344415
3193,EricYT,0.000321992,0.000300559,0.282665743,0.283288295,30661,EricYT,1,1.503783558
3542,axayjha,0.000160996,0.000157645,0.282950967,0.283269608,2474,axayjha,1,1.503404096
1142,gizmosachin,0.000321992,0.000254214,0.28269332,0.283269527,607,gizmosachin,1,1.503402454
3071,maplebeats,0.000375657,0.00037107,0.282362749,0.283109476,18110,maplebeats,1,1.500152423
3359,edublancas,0.000214661,0.000206023,0.282674935,0.283095619,23304,edublancas,1,1.499871035
64,jvican,0.000643984,0.000490654,0.281959767,0.283094405,3582,jvican,1,1.499846376
2813,master-q,0.000429323,0.00035192,0.282252731,0.283033974,28352,master-q,1,1.498619242
3527,dasguptar,0.000965976,0.000971795,0.281093601,0.283031372,24677,dasguptar,1,1.498566414
2843,akhilmantha,0.000214661,0.000262316,0.282500393,0.282977371,19295,akhilmantha,1,1.497469855
500,rich-iannone,0.003058925,0.002087082,0.277805746,0.282951752,36559,rich-iannone,1,1.496949633
3458,pfmiles,0.000429323,0.000339145,0.282106173,0.28287464,5678,pfmiles,1,1.495383767
3931,ArnabBir,0.001717291,0.001705865,0.279395095,0.282818251,9074,ArnabBir,1,1.494238725
3589,li-haoran,0.000160996,0.00019329,0.282426967,0.282781252,15907,li-haoran,1,1.493487411
3335,Mamunahmed33,0.000160996,0.000147787,0.282436143,0.282744926,25802,Mamunahmed33,1,1.492749756
3760,blogcin,0.000268327,0.00034334,0.282060404,0.282672071,10651,blogcin,1,1.491270349
3468,qinchao0525,0.000160996,0.000198109,0.282298561,0.282657666,33921,qinchao0525,1,1.490977836
2401,mcanthony,0.003702909,0.006818567,0.272126835,0.28264831,25477,mcanthony,0,1.490787854
8309,dongjoon-hyun,0.001341634,0.001430096,0.279853828,0.282625558,27911,dongjoon-hyun,1,1.490325829
3114,hiteshgarg14,0.000321992,0.00039657,0.28186834,0.282586902,12292,hiteshgarg14,1,1.489540888
3830,Jerriychen,0.000214661,0.000202543,0.282069557,0.282486761,17536,Jerriychen,1,1.487507391
3403,diegoferigo,0.000321992,0.000382092,0.281740442,0.282444527,5241,diegoferigo,1,1.486649766
2865,sudipbhandari126,0.000268327,0.000187616,0.281941477,0.282397419,28888,sudipbhandari126,1,1.485693185
3204,johnlinp,0.000321992,0.000281679,0.281786107,0.282389778,12345,johnlinp,1,1.485538024
3628,prvst,0.000321992,0.00022027,0.281840924,0.282383186,35235,prvst,1,1.485404166
3288,halfelf,0.000321992,0.00021415,0.281840924,0.282377066,4386,halfelf,1,1.485279881
3050,subho406,0.000160996,0.000134757,0.282042101,0.282337854,11791,subho406,1,1.484483639
3592,iht,0.000214661,0.000224101,0.28186834,0.282307102,27832,iht,1,1.483859183
3890,NagabhushanS,0.000268327,0.000257482,0.281740442,0.282266251,18003,NagabhushanS,1,1.48302965
2930,gajena,0.000160996,0.000127019,0.281978059,0.282266074,29539,gajena,1,1.483026062
2686,graytowne,0.000214661,0.000173701,0.28186834,0.282256703,1466,graytowne,1,1.482835762
1789,mi-1-0-0,0.000214661,0.000190095,0.281822649,0.282227405,945,mi-1-0-0,1,1.482240835
3079,NutshellySima,0.000268327,0.000235937,0.281713051,0.282217314,7391,NutshellySima,1,1.482035926
2467,Kyubyong,0.003595578,0.0040056,0.27460259,0.282203768,36620,Kyubyong,1,1.481760857
469,minesh1291,0.001234303,0.001769786,0.279179741,0.28218383,28601,minesh1291,1,1.481355994
